Porosity,Permeability
13.776,182
14.328,211.4666667
15.328,272.1333333
16.12,389.1333333
13.12,284.2666667
14.168,326.7333333
14.816,337.1333333
14.264,512.2
14.408,626.6
13.984,943.8
16.496,629.2
16.24,1482
16.8,3339.266667
18.16,1290.466667
18.56,1306.066667
18.4,1472.466667
23.052,34.93333333
23.7645,47.86666667
23.242,53.73333333
23.4225,38.61333333
23.052,64.46666667
24.1445,52
23.6125,62.33333333
23.6505,73.53333333
24.0685,73.33333333
24.249,63.33333333
24.8095,61.33333333
25.1515,66.66666667
24.629,70.66666667
24.477,82.66666667
23.8405,91.33333333
23.8785,115.0666667
24.591,92.66666667
25.1515,74.66666667
25.4935,78.66666667
25.788,84
25.674,81.33333333
25.2275,86.66666667
25.0755,94
25.1515,104
25.902,104
25.6455,113.2666667
26.282,86.66666667
26.7665,91.33333333
26.5005,99.33333333
26.6145,104
26.396,109.3333333
26.168,116.6666667
26.016,131.3333333
26.32,124.6666667
26.8425,115.0666667
27.403,104
27.403,111.3333333
28.0775,114.6666667
26.8805,127.3333333
26.5765,138
26.8805,126.6666667
27.2225,130.6666667
26.9945,140.4666667
26.9185,152
27.669,147.3333333
27.479,160
27.251,168.6666667
27.2225,189.3333333
27.631,183.3333333
27.631,183.3333333
27.745,171.3333333
28.0395,180
27.8495,199.3333333
27.707,216
28.1915,223.3333333
28.714,208.6666667
29.094,209.3333333
28.6475,234.6666667
29.094,230.6666667
28.942,281.3333333
29.6545,272.4
30.025,296
23,43.73333333
24,38.2
16.305933,1.371216
17.303475,1.018250667
17.1353595,1.371216
16.389996,2.111866667
17.303475,2.707312
17.5108395,2.531530667
18.0880665,1.673392
18.1329015,1.944058667
18.3794835,1.789584
18.0880665,2.367168
18.0880665,2.793466667
18.7101285,2.253456
18.6709005,2.492186667
19.1248365,2.707312
19.5003165,1.540421333
19.7076705,1.789584
19.7076705,3.409066667
17.9255475,3.770224
21.697158,2.659274667
16.737,2.154666667
19,2.354408896
19.122,2.259655448
19.244,2.486333017
19.366,2.887305507
19.488,2.462367663
19.61,2.222025104
19.732,2.899770019
19.854,2.276652667
19.976,2.541312834
20.098,2.311312637
20.22,2.743211976
20.342,2.480575431
20.464,2.371386275
20.586,3.045373941
20.708,3.152660713
20.83,2.558670738
20.952,3.231948652
21.074,2.6942078
21.196,2.714179671
21.318,3.021177126
